x y
1.000348 0.001101
0.995517 0.003303
0.990684 0.005500
0.985851 0.007694
0.981016 0.009884
0.976180 0.012070
0.971343 0.014253
0.966505 0.016432
0.961666 0.018608
0.956826 0.020780
0.951984 0.022948
0.947142 0.025113
0.942298 0.027275
0.937453 0.029433
0.932608 0.031588
0.927761 0.033739
0.922913 0.035887
0.918064 0.038032
0.913214 0.040174
0.908363 0.042312
0.903511 0.044447
0.898658 0.046579
0.893804 0.048708
0.888949 0.050833
0.884093 0.052956
0.879236 0.055075
0.874378 0.057191
0.869519 0.059304
0.864659 0.061415
0.859798 0.063522
0.854937 0.065626
0.850074 0.067727
0.845210 0.069825
0.840345 0.071920
0.835480 0.074012
0.830613 0.076101
0.825746 0.078187
0.820877 0.080270
0.816008 0.082350
0.811138 0.084427
0.806266 0.086502
0.801394 0.088573
0.796521 0.090641
0.791647 0.092707
0.786772 0.094769
0.781897 0.096829
0.777020 0.098886
0.772142 0.100940
0.767263 0.102990
0.762384 0.105038
0.757503 0.107083
0.752622 0.109125
0.747740 0.111164
0.742856 0.113200
0.737972 0.115233
0.733087 0.117263
0.728201 0.119290
0.723314 0.121314
0.718426 0.123335
0.713537 0.125353
0.708647 0.127368
0.703756 0.129380
0.698864 0.131388
0.693971 0.133394
0.689077 0.135396
0.684182 0.137395
0.679286 0.139391
0.674389 0.141384
0.669491 0.143374
0.664592 0.145360
0.659692 0.147343
0.654791 0.149322
0.649889 0.151299
0.644986 0.153272
0.640081 0.155241
0.635176 0.157207
0.630269 0.159170
0.625362 0.161129
0.620453 0.163084
0.615543 0.165036
0.610632 0.166984
0.605720 0.168928
0.600806 0.170869
0.595892 0.172806
0.590976 0.174739
0.586059 0.176668
0.581141 0.178593
0.576221 0.180514
0.571300 0.182432
0.566378 0.184345
0.561455 0.186254
0.556530 0.188159
0.551604 0.190059
0.546677 0.191955
0.541748 0.193847
0.536817 0.195734
0.531886 0.197617
0.526953 0.199496
0.522018 0.201369
0.517082 0.203238
0.512144 0.205102
0.507205 0.206961
0.502265 0.208816
0.497322 0.210665
0.492379 0.212509
0.487433 0.214348
0.482486 0.216182
0.477537 0.218010
0.472586 0.219833
0.467634 0.221650
0.462680 0.223462
0.457724 0.225268
0.452766 0.227068
0.447807 0.228863
0.442845 0.230651
0.437882 0.232433
0.432916 0.234209
0.427949 0.235978
0.422979 0.237742
0.418008 0.239498
0.413034 0.241248
0.408058 0.242991
0.403080 0.244727
0.398100 0.246456
0.393117 0.248178
0.388133 0.249892
0.383145 0.251599
0.378156 0.253298
0.373164 0.254990
0.368169 0.256674
0.363172 0.258349
0.358172 0.260017
0.353170 0.261676
0.348165 0.263326
0.343157 0.264968
0.338146 0.266600
0.333133 0.268224
0.328116 0.269838
0.323097 0.271443
0.318074 0.273038
0.313049 0.274623
0.308020 0.276198
0.302988 0.277763
0.297952 0.279317
0.292913 0.280861
0.287871 0.282393
0.282825 0.283914
0.277775 0.285423
0.272722 0.286921
0.267665 0.288406
0.262604 0.289879
0.257539 0.291339
0.252469 0.292786
0.247396 0.294220
0.242318 0.295639
0.237236 0.297045
0.232149 0.298436
0.227057 0.299812
0.221960 0.301173
0.216859 0.302517
0.211752 0.303846
0.206640 0.305157
0.201522 0.306452
0.196399 0.307728
0.191270 0.308986
0.186135 0.310224
0.180994 0.311443
0.175846 0.312641
0.170691 0.313818
0.165529 0.314973
0.160361 0.316104
0.155184 0.317212
0.150000 0.318294
0.144807 0.319351
0.139606 0.320379
0.134395 0.321379
0.129175 0.322349
0.123945 0.323287
0.118704 0.324191
0.113452 0.325059
0.108188 0.325889
0.102911 0.326678
0.097620 0.327424
0.092315 0.328123
0.086993 0.328771
0.081654 0.329364
0.076296 0.329896
0.070917 0.330361
0.065514 0.330752
0.060084 0.331059
0.049646 0.332130
0.028907 0.328135
0.012713 0.313094
0.005715 0.295662
0.001707 0.274328
-0.001326 0.245232
-0.003768 0.205522
-0.005548 0.152864
-0.006173 0.085123
