x y
1.000227 0.001133
0.995328 0.002769
0.990428 0.004402
0.985528 0.006031
0.980627 0.007657
0.975725 0.009278
0.970822 0.010896
0.965919 0.012510
0.961015 0.014120
0.956110 0.015727
0.951205 0.017330
0.946298 0.018929
0.941392 0.020525
0.936484 0.022118
0.931576 0.023707
0.926667 0.025293
0.921757 0.026875
0.916846 0.028454
0.911935 0.030029
0.907024 0.031601
0.902111 0.033170
0.897198 0.034735
0.892285 0.036297
0.887370 0.037856
0.882455 0.039412
0.877540 0.040965
0.872623 0.042514
0.867707 0.044060
0.862789 0.045603
0.857871 0.047143
0.852952 0.048680
0.848033 0.050214
0.843113 0.051744
0.838192 0.053272
0.833271 0.054796
0.828349 0.056318
0.823427 0.057836
0.818503 0.059352
0.813580 0.060864
0.808656 0.062373
0.803731 0.063879
0.798805 0.065383
0.793879 0.066883
0.788952 0.068380
0.784025 0.069874
0.779097 0.071365
0.774169 0.072853
0.769240 0.074338
0.764310 0.075821
0.759380 0.077300
0.754449 0.078776
0.749517 0.080249
0.744585 0.081719
0.739652 0.083185
0.734719 0.084649
0.729785 0.086110
0.724850 0.087568
0.719915 0.089022
0.714979 0.090473
0.710043 0.091922
0.705106 0.093367
0.700168 0.094809
0.695229 0.096247
0.690290 0.097683
0.685351 0.099115
0.680410 0.100544
0.675469 0.101970
0.670528 0.103392
0.665585 0.104811
0.660642 0.106227
0.655699 0.107640
0.650754 0.109048
0.645809 0.110454
0.640864 0.111856
0.635917 0.113254
0.630970 0.114649
0.626022 0.116040
0.621074 0.117428
0.616124 0.118812
0.611174 0.120192
0.606223 0.121569
0.601272 0.122941
0.596319 0.124310
0.591366 0.125675
0.586412 0.127036
0.581458 0.128393
0.576502 0.129746
0.571546 0.131095
0.566588 0.132440
0.561630 0.133780
0.556672 0.135116
0.551712 0.136448
0.546751 0.137776
0.541790 0.139099
0.536827 0.140418
0.531864 0.141732
0.526900 0.143041
0.521934 0.144346
0.516968 0.145645
0.512001 0.146941
0.507033 0.148231
0.502064 0.149516
0.497094 0.150796
0.492123 0.152071
0.487150 0.153340
0.482177 0.154604
0.477203 0.155863
0.472227 0.157117
0.467251 0.158364
0.462273 0.159606
0.457294 0.160843
0.452314 0.162073
0.447333 0.163297
0.442350 0.164516
0.437367 0.165728
0.432382 0.166933
0.427395 0.168133
0.422408 0.169326
0.417419 0.170512
0.412429 0.171691
0.407437 0.172864
0.402444 0.174030
0.397450 0.175188
0.392454 0.176339
0.387456 0.177483
0.382457 0.178619
0.377457 0.179748
0.372455 0.180868
0.367451 0.181981
0.362446 0.183085
0.357439 0.184182
0.352431 0.185269
0.347420 0.186349
0.342408 0.187419
0.337395 0.188480
0.332379 0.189532
0.327361 0.190575
0.322342 0.191608
0.317320 0.192632
0.312297 0.193645
0.307271 0.194649
0.302244 0.195642
0.297214 0.196624
0.292182 0.197595
0.287148 0.198556
0.282112 0.199504
0.277073 0.200442
0.272032 0.201367
0.266989 0.202280
0.261943 0.203181
0.256866 0.204073
0.251691 0.204965
0.246414 0.205844
0.241036 0.206700
0.235557 0.207522
0.229977 0.208295
0.224296 0.209007
0.218514 0.209645
0.212631 0.210193
0.206649 0.210637
0.200568 0.210961
0.194392 0.211148
0.188121 0.211182
0.181762 0.211044
0.175319 0.210718
0.168799 0.210186
0.162210 0.209429
0.155563 0.208431
0.148870 0.207174
0.142144 0.205643
0.135402 0.203823
0.128659 0.201702
0.121935 0.199269
0.115247 0.196515
0.108614 0.193435
0.102054 0.190024
0.095584 0.186280
0.089219 0.182203
0.082974 0.177793
0.076859 0.173052
0.070885 0.167983
0.065058 0.162586
0.059383 0.156864
0.053865 0.150817
0.048505 0.144443
0.043306 0.137740
0.038267 0.130705
0.033391 0.123331
0.028680 0.115613
0.024136 0.107539
0.019766 0.099100
0.015579 0.090282
0.011587 0.081070
0.007814 0.071444
0.004292 0.061380
0.001075 0.050845
-0.001741 0.039789
-0.003967 0.028124
-0.005111 0.015631
0.000000 0.000000
0.015162 0.005998
0.024067 0.014183
0.031891 0.022266
0.039126 0.030048
0.045959 0.037458
0.052488 0.044467
0.058764 0.051061
0.064823 0.057236
0.070686 0.062992
0.076366 0.068331
0.081873 0.073262
0.087212 0.077792
0.092386 0.081932
0.097398 0.085693
0.102249 0.089091
0.106939 0.092140
0.111471 0.094857
0.115847 0.097262
0.120070 0.099373
0.124146 0.101212
0.128081 0.102800
0.131886 0.104159
0.135572 0.105309
0.139152 0.106271
0.142643 0.107064
0.146060 0.107705
0.149422 0.108211
0.152748 0.108593
0.156056 0.108863
0.159364 0.109030
0.162688 0.109101
0.166045 0.109081
0.169448 0.108973
0.172910 0.108781
0.176440 0.108505
0.180047 0.108149
0.183738 0.107714
0.187518 0.107200
0.191392 0.106612
0.195361 0.105950
0.199429 0.105218
0.203597 0.104421
0.207865 0.103561
0.212234 0.102645
0.216704 0.101678
0.221275 0.100666
0.225948 0.099616
0.230721 0.098536
0.235596 0.097433
0.240570 0.096317
0.245574 0.095207
0.250581 0.094110
0.255590 0.093026
0.260602 0.091953
0.265616 0.090892
0.270632 0.089842
0.275650 0.088803
0.280671 0.087775
0.285693 0.086758
0.290718 0.085752
0.295745 0.084755
0.300774 0.083768
0.305805 0.082792
0.310837 0.081824
0.315872 0.080867
0.320908 0.079918
0.325946 0.078978
0.330986 0.078047
0.336028 0.077125
0.341071 0.076211
0.346116 0.075306
0.351163 0.074408
0.356211 0.073519
0.361261 0.072637
0.366312 0.071763
0.371365 0.070897
0.376420 0.070038
0.381475 0.069187
0.386533 0.068342
0.391591 0.067505
0.396651 0.066674
0.401713 0.065850
0.406775 0.065033
0.411839 0.064222
0.416905 0.063418
0.421971 0.062620
0.427039 0.061828
0.432108 0.061043
0.437178 0.060263
0.442250 0.059489
0.447322 0.058721
0.452396 0.057959
0.457471 0.057202
0.462546 0.056451
0.467623 0.055705
0.472701 0.054965
0.477781 0.054229
0.482861 0.053499
0.487942 0.052774
0.493024 0.052054
0.498107 0.051339
0.503191 0.050629
0.508276 0.049924
0.513362 0.049223
0.518449 0.048527
0.523537 0.047836
0.528626 0.047149
0.533715 0.046466
0.538806 0.045788
0.543897 0.045114
0.548989 0.044445
0.554083 0.043779
0.559176 0.043118
0.564271 0.042461
0.569367 0.041808
0.574463 0.041159
0.579560 0.040514
0.584658 0.039873
0.589757 0.039235
0.594856 0.038602
0.599956 0.037972
0.605057 0.037346
0.610159 0.036723
0.615261 0.036105
0.620364 0.035489
0.625468 0.034878
0.630573 0.034270
0.635678 0.033665
0.640784 0.033064
0.645890 0.032466
0.650998 0.031872
0.656105 0.031281
0.661214 0.030693
0.666323 0.030109
0.671433 0.029528
0.676544 0.028950
0.681655 0.028376
0.686767 0.027804
0.691879 0.027236
0.696993 0.026671
0.702106 0.026109
0.707221 0.025551
0.712336 0.024995
0.717451 0.024443
0.722568 0.023894
0.727685 0.023347
0.732802 0.022804
0.737920 0.022264
0.743039 0.021727
0.748158 0.021193
0.753278 0.020662
0.758399 0.020134
0.763520 0.019609
0.768642 0.019087
0.773764 0.018568
0.778887 0.018052
0.784010 0.017539
0.789135 0.017030
0.794259 0.016523
0.799385 0.016019
0.804511 0.015518
0.809637 0.015020
0.814764 0.014526
0.819892 0.014034
0.825021 0.013545
0.830150 0.013060
0.835279 0.012577
0.840409 0.012098
0.845540 0.011621
0.850672 0.011148
0.855804 0.010678
0.860937 0.010211
0.866070 0.009747
0.871204 0.009287
0.876339 0.008829
0.881474 0.008375
0.886610 0.007924
0.891746 0.007476
0.896884 0.007031
0.902022 0.006590
0.907160 0.006152
0.912299 0.005717
0.917439 0.005286
0.922580 0.004858
0.927721 0.004434
0.932863 0.004013
0.938005 0.003595
0.943149 0.003181
0.948293 0.002771
0.953438 0.002364
0.958583 0.001960
0.963729 0.001561
0.968876 0.001164
0.974024 0.000772
0.979172 0.000384
0.984321 -0.000001
0.989471 -0.000382
0.994622 -0.000759
0.999773 -0.001133
