x y
1.000147 0.000933
0.995204 0.002248
0.990261 0.003559
0.985317 0.004866
0.980373 0.006171
0.975428 0.007472
0.970482 0.008771
0.965537 0.010066
0.960590 0.011358
0.955643 0.012648
0.950696 0.013934
0.945748 0.015218
0.940800 0.016498
0.935851 0.017776
0.930902 0.019050
0.925953 0.020322
0.921003 0.021591
0.916052 0.022858
0.911101 0.024121
0.906150 0.025382
0.901198 0.026640
0.896246 0.027896
0.891293 0.029148
0.886340 0.030398
0.881387 0.031646
0.876433 0.032890
0.871479 0.034132
0.866524 0.035372
0.861569 0.036609
0.856613 0.037843
0.851658 0.039075
0.846701 0.040304
0.841744 0.041530
0.836787 0.042755
0.831830 0.043976
0.826872 0.045195
0.821914 0.046412
0.816955 0.047626
0.811996 0.048837
0.807036 0.050046
0.802076 0.051253
0.797116 0.052457
0.792155 0.053658
0.787194 0.054857
0.782233 0.056054
0.777271 0.057248
0.772309 0.058440
0.767346 0.059629
0.762383 0.060815
0.757420 0.061999
0.752456 0.063181
0.747491 0.064360
0.742527 0.065537
0.737562 0.066711
0.732596 0.067882
0.727631 0.069051
0.722664 0.070218
0.717698 0.071382
0.712731 0.072543
0.707763 0.073702
0.702795 0.074858
0.697827 0.076012
0.692858 0.077162
0.687889 0.078311
0.682920 0.079456
0.677950 0.080599
0.672979 0.081739
0.668009 0.082877
0.663037 0.084011
0.658066 0.085143
0.653094 0.086272
0.648121 0.087399
0.643148 0.088522
0.638175 0.089643
0.633201 0.090760
0.628226 0.091875
0.623251 0.092987
0.618276 0.094096
0.613300 0.095202
0.608324 0.096304
0.603347 0.097404
0.598370 0.098500
0.593392 0.099594
0.588414 0.100684
0.583435 0.101770
0.578456 0.102854
0.573476 0.103934
0.568495 0.105011
0.563514 0.106084
0.558533 0.107154
0.553551 0.108221
0.548568 0.109284
0.543585 0.110343
0.538601 0.111398
0.533617 0.112450
0.528632 0.113498
0.523647 0.114543
0.518661 0.115583
0.513674 0.116620
0.508686 0.117652
0.503698 0.118680
0.498710 0.119705
0.493720 0.120725
0.488730 0.121740
0.483740 0.122752
0.478748 0.123759
0.473756 0.124762
0.468763 0.125760
0.463770 0.126753
0.458776 0.127742
0.453781 0.128726
0.448785 0.129705
0.443788 0.130679
0.438791 0.131649
0.433793 0.132613
0.428794 0.133572
0.423794 0.134525
0.418793 0.135474
0.413792 0.136416
0.408789 0.137354
0.403786 0.138285
0.398782 0.139211
0.393776 0.140131
0.388770 0.141045
0.383763 0.141952
0.378755 0.142854
0.373746 0.143749
0.368736 0.144638
0.363725 0.145520
0.358713 0.146395
0.353699 0.147264
0.348685 0.148126
0.343670 0.148980
0.338653 0.149827
0.333635 0.150667
0.328616 0.151500
0.323596 0.152324
0.318575 0.153141
0.313552 0.153950
0.308528 0.154750
0.303502 0.155542
0.298476 0.156325
0.293448 0.157100
0.288418 0.157866
0.283387 0.158622
0.278355 0.159370
0.273321 0.160107
0.268285 0.160835
0.263248 0.161553
0.258210 0.162260
0.253169 0.162957
0.248127 0.163643
0.243083 0.164318
0.238038 0.164981
0.232990 0.165633
0.227941 0.166273
0.222889 0.166900
0.217836 0.167515
0.212781 0.168117
0.207723 0.168705
0.202663 0.169279
0.197601 0.169839
0.192537 0.170385
0.187470 0.170915
0.182401 0.171429
0.177330 0.171928
0.172255 0.172409
0.167178 0.172873
0.162098 0.173319
