
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34652_5_9902c1                                      
  Mach  =    0.850
  alpha =    2.634    CLtot =    0.194
  beta  =    0.000

  Sref  =   814.80000
  Bref  =    61.50000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062308943089431     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1409  0.145883E-02    -0.404796E-04
   -0.1477  0.130002E-02    -0.312139E-04
   -0.1560  0.105923E-02    -0.215096E-04
   -0.1652  0.785536E-03    -0.130461E-04
   -0.1748  0.529627E-03    -0.679953E-05
   -0.1841  0.317678E-03    -0.291225E-05
   -0.1924  0.160877E-03    -0.943795E-06
   -0.1991  0.616569E-04    -0.196412E-06
   -0.2039  0.135204E-04    -0.178794E-07
   -0.2064  0.816328E-06    -0.255227E-09
   -0.2067   0.00000         -0.00000    
