
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30908_19_9bfa9a                                     
  Mach  =    0.850
  alpha =    2.082    CLtot =    0.159
  beta  =    0.000

  Sref  =   997.70000
  Bref  =    62.57000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063257151989771     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1385  0.788940E-03    -0.216468E-04
   -0.1452  0.702936E-03    -0.167220E-04
   -0.1533  0.574718E-03    -0.115565E-04
   -0.1624  0.428806E-03    -0.703123E-05
   -0.1718  0.290527E-03    -0.367307E-05
   -0.1809  0.174709E-03    -0.157516E-05
   -0.1891  0.885650E-04    -0.510744E-06
   -0.1957  0.339518E-04    -0.106306E-06
   -0.2004  0.744500E-05    -0.967687E-08
   -0.2029  0.449481E-06    -0.138128E-09
   -0.2032   0.00000         -0.00000    
