
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_4796_18_b69843                                      
  Mach  =    0.850
  alpha =    1.664    CLtot =    0.147
  beta  =    0.000

  Sref  =  1142.20000
  Bref  =    69.75000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0069562724014338     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1242  0.755327E-03    -0.183562E-04
   -0.1302  0.675410E-03    -0.141194E-04
   -0.1375  0.549523E-03    -0.967677E-05
   -0.1457  0.403951E-03    -0.581981E-05
   -0.1541  0.268662E-03    -0.300299E-05
   -0.1623  0.158865E-03    -0.127357E-05
   -0.1696  0.794600E-04    -0.409213E-06
   -0.1756  0.301644E-04    -0.845857E-07
   -0.1798  0.657236E-05    -0.766134E-08
   -0.1820  0.395387E-06    -0.108997E-09
   -0.1823   0.00000         -0.00000    
