
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_28724_11_5ddf45                                     
  Mach  =    0.850
  alpha =    1.785    CLtot =    0.146
  beta  =    0.000

  Sref  =  1118.10000
  Bref  =    66.05000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063194549583649     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1312  0.603409E-03    -0.153438E-04
   -0.1375  0.536642E-03    -0.117787E-04
   -0.1452  0.434092E-03    -0.806082E-05
   -0.1539  0.317979E-03    -0.484815E-05
   -0.1628  0.211498E-03    -0.250655E-05
   -0.1714  0.125515E-03    -0.106691E-05
   -0.1791  0.631400E-04    -0.344366E-06
   -0.1854  0.241155E-04    -0.715049E-07
   -0.1899  0.528098E-05    -0.650236E-08
   -0.1922  0.318761E-06    -0.927959E-10
   -0.1925   0.00000         -0.00000    
