
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10328_17_d5fdb9                                     
  Mach  =    0.850
  alpha =    2.542    CLtot =    0.181
  beta  =    0.000

  Sref  =   820.40000
  Bref  =    64.76000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061766522544779     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1338  0.110743E-02    -0.296352E-04
   -0.1403  0.990125E-03    -0.229452E-04
   -0.1481  0.812489E-03    -0.159037E-04
   -0.1569  0.608666E-03    -0.971195E-05
   -0.1660  0.414607E-03    -0.509641E-05
   -0.1748  0.250981E-03    -0.219654E-05
   -0.1827  0.128100E-03    -0.715748E-06
   -0.1891  0.494013E-04    -0.149617E-06
   -0.1937  0.108801E-04    -0.136661E-07
   -0.1960  0.658595E-06    -0.195546E-09
   -0.1963   0.00000         -0.00000    
