
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29352_4_c7e933                                      
  Mach  =    0.850
  alpha =    2.695    CLtot =    0.196
  beta  =    0.000

  Sref  =   742.10000
  Bref  =    61.22000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061352499183274     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1416  0.126057E-02    -0.353620E-04
   -0.1484  0.112233E-02    -0.273224E-04
   -0.1567  0.916146E-03    -0.188991E-04
   -0.1660  0.683468E-03    -0.115268E-04
   -0.1756  0.464830E-03    -0.604787E-05
   -0.1849  0.281491E-03    -0.260823E-05
   -0.1932  0.143844E-03    -0.850688E-06
   -0.2000  0.555419E-04    -0.177986E-06
   -0.2049  0.122441E-04    -0.162693E-07
   -0.2073  0.741584E-06    -0.232918E-09
   -0.2077   0.00000         -0.00000    
