
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29840_0_98027e                                      
  Mach  =    0.850
  alpha =    2.120    CLtot =    0.162
  beta  =    0.000

  Sref  =   996.50000
  Bref  =    64.61000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061321776814736     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1341  0.788139E-03    -0.211418E-04
   -0.1406  0.703392E-03    -0.163736E-04
   -0.1485  0.577247E-03    -0.113594E-04
   -0.1573  0.433505E-03    -0.694551E-05
   -0.1664  0.296003E-03    -0.364738E-05
   -0.1752  0.179299E-03    -0.157174E-05
   -0.1831  0.914367E-04    -0.511726E-06
   -0.1895  0.352110E-04    -0.106852E-06
   -0.1941  0.774471E-05    -0.974981E-08
   -0.1965  0.468412E-06    -0.139401E-09
   -0.1968   0.00000         -0.00000    
