
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_7028_14_35373d                                      
  Mach  =    0.850
  alpha =    2.328    CLtot =    0.192
  beta  =    0.000

  Sref  =   755.60000
  Bref  =    63.27000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060281333965544     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1370  0.101763E-02    -0.276641E-04
   -0.1436  0.905179E-03    -0.213870E-04
   -0.1516  0.739860E-03    -0.148097E-04
   -0.1606  0.553487E-03    -0.904207E-05
   -0.1699  0.377036E-03    -0.474605E-05
   -0.1789  0.228344E-03    -0.204638E-05
   -0.1870  0.116619E-03    -0.667129E-06
   -0.1936  0.450002E-04    -0.139514E-06
   -0.1982  0.991518E-05    -0.127476E-07
   -0.2006  0.600336E-06    -0.182445E-09
   -0.2009   0.00000         -0.00000    
