
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23548_1_f7adfe                                      
  Mach  =    0.850
  alpha =    2.055    CLtot =    0.174
  beta  =    0.000

  Sref  =   934.80000
  Bref  =    61.75000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064777327935222     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1403  0.101262E-02    -0.272495E-04
   -0.1471  0.893864E-03    -0.208725E-04
   -0.1554  0.718121E-03    -0.142687E-04
   -0.1646  0.525160E-03    -0.858785E-05
   -0.1741  0.350202E-03    -0.444702E-05
   -0.1833  0.208343E-03    -0.189489E-05
   -0.1916  0.104887E-03    -0.611691E-06
   -0.1983  0.400357E-04    -0.126937E-06
   -0.2031  0.875685E-05    -0.115320E-07
   -0.2056  0.527976E-06    -0.164404E-09
   -0.2059   0.00000         -0.00000    
