
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29348_3_b01a52                                      
  Mach  =    0.850
  alpha =    1.847    CLtot =    0.175
  beta  =    0.000

  Sref  =   866.20000
  Bref  =    66.79000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064171283126215     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1298  0.760595E-03    -0.192714E-04
   -0.1360  0.673558E-03    -0.148363E-04
   -0.1436  0.546489E-03    -0.102153E-04
   -0.1521  0.405003E-03    -0.619581E-05
   -0.1610  0.273178E-03    -0.322981E-05
   -0.1695  0.163879E-03    -0.138348E-05
   -0.1771  0.830009E-04    -0.448418E-06
   -0.1834  0.318185E-04    -0.933382E-07
   -0.1878  0.697911E-05    -0.849830E-08
   -0.1901  0.421450E-06    -0.121331E-09
   -0.1903   0.00000         -0.00000    
