
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_32344_7_d72164                                      
  Mach  =    0.850
  alpha =    2.306    CLtot =    0.183
  beta  =    0.000

  Sref  =   857.80000
  Bref  =    63.69000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0065127963573559     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1361  0.134183E-02    -0.355024E-04
   -0.1426  0.119444E-02    -0.272772E-04
   -0.1506  0.968525E-03    -0.186862E-04
   -0.1596  0.711197E-03    -0.112449E-04
   -0.1688  0.473573E-03    -0.581119E-05
   -0.1777  0.280749E-03    -0.246949E-05
   -0.1857  0.140817E-03    -0.795082E-06
   -0.1923  0.535851E-04    -0.164629E-06
   -0.1969  0.116949E-04    -0.149308E-07
   -0.1993  0.704218E-06    -0.212604E-09
   -0.1996   0.00000         -0.00000    
