
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24688_16_4cf844                                     
  Mach  =    0.850
  alpha =    2.119    CLtot =    0.165
  beta  =    0.000

  Sref  =  1006.10000
  Bref  =    68.89000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0067121498040354     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1258  0.944445E-03    -0.236912E-04
   -0.1318  0.845765E-03    -0.183237E-04
   -0.1393  0.694278E-03    -0.126686E-04
   -0.1475  0.518395E-03    -0.770187E-05
   -0.1561  0.350620E-03    -0.401712E-05
   -0.1643  0.210331E-03    -0.171965E-05
   -0.1717  0.106375E-03    -0.556684E-06
   -0.1778  0.407025E-04    -0.115712E-06
   -0.1820  0.891361E-05    -0.105223E-07
   -0.1843  0.537734E-06    -0.150089E-09
   -0.1845   0.00000         -0.00000    
