
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24212_6_beb721                                      
  Mach  =    0.850
  alpha =    1.753    CLtot =    0.163
  beta  =    0.000

  Sref  =   947.60000
  Bref  =    65.03000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061725357527294     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1333  0.916631E-03    -0.233943E-04
   -0.1397  0.813844E-03    -0.178979E-04
   -0.1475  0.655350E-03    -0.121827E-04
   -0.1563  0.475866E-03    -0.727460E-05
   -0.1653  0.313072E-03    -0.373083E-05
   -0.1741  0.183742E-03    -0.157526E-05
   -0.1819  0.914755E-04    -0.504650E-06
   -0.1883  0.346299E-04    -0.104114E-06
   -0.1929  0.753344E-05    -0.941849E-08
   -0.1952  0.452820E-06    -0.133890E-09
   -0.1955   0.00000         -0.00000    
