
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24828_4_7fc5c6                                      
  Mach  =    0.850
  alpha =    2.425    CLtot =    0.177
  beta  =    0.000

  Sref  =   851.10000
  Bref  =    64.27000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060463668896844     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1348  0.958498E-03    -0.256211E-04
   -0.1413  0.852888E-03    -0.197997E-04
   -0.1493  0.696518E-03    -0.137012E-04
   -0.1581  0.520162E-03    -0.835985E-05
   -0.1673  0.353931E-03    -0.438714E-05
   -0.1761  0.214359E-03    -0.189230E-05
   -0.1841  0.109564E-03    -0.617326E-06
   -0.1906  0.423220E-04    -0.129199E-06
   -0.1951  0.933338E-05    -0.118133E-07
   -0.1975  0.565437E-06    -0.169166E-09
   -0.1978   0.00000         -0.00000    
