
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_25088_8_c812b2                                      
  Mach  =    0.850
  alpha =    2.149    CLtot =    0.163
  beta  =    0.000

  Sref  =   954.10000
  Bref  =    57.73000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0058479126970379     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1501  0.802296E-03    -0.239025E-04
   -0.1573  0.712263E-03    -0.184837E-04
   -0.1662  0.581926E-03    -0.128126E-04
   -0.1760  0.436499E-03    -0.783514E-05
   -0.1862  0.298327E-03    -0.411705E-05
   -0.1961  0.180878E-03    -0.177498E-05
   -0.2049  0.922803E-04    -0.578018E-06
   -0.2121  0.355391E-04    -0.120701E-06
   -0.2172  0.781695E-05    -0.110136E-07
   -0.2199  0.472797E-06    -0.157474E-09
   -0.2202   0.00000         -0.00000    
