
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29400_6_bfc206                                      
  Mach  =    0.850
  alpha =    1.640    CLtot =    0.155
  beta  =    0.000

  Sref  =  1059.90000
  Bref  =    77.39000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0067269673084378     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1120  0.764059E-03    -0.168185E-04
   -0.1174  0.681477E-03    -0.129605E-04
   -0.1240  0.556408E-03    -0.891412E-05
   -0.1313  0.412148E-03    -0.538293E-05
   -0.1389  0.275863E-03    -0.278608E-05
   -0.1463  0.163690E-03    -0.118354E-05
   -0.1529  0.819791E-04    -0.380509E-06
   -0.1582  0.311227E-04    -0.786481E-07
   -0.1621  0.677814E-05    -0.712095E-08
   -0.1640  0.407560E-06    -0.101261E-09
   -0.1643   0.00000         -0.00000    
