
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_16368_5_929df4                                      
  Mach  =    0.850
  alpha =    1.721    CLtot =    0.146
  beta  =    0.000

  Sref  =  1114.50000
  Bref  =    66.74000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062001798022178     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1299  0.727551E-03    -0.184717E-04
   -0.1361  0.646727E-03    -0.142185E-04
   -0.1437  0.525649E-03    -0.977479E-05
   -0.1523  0.388612E-03    -0.590965E-05
   -0.1611  0.260710E-03    -0.306774E-05
   -0.1696  0.155457E-03    -0.130835E-05
   -0.1773  0.782899E-04    -0.422362E-06
   -0.1835  0.298720E-04    -0.876202E-07
   -0.1879  0.653082E-05    -0.795736E-08
   -0.1902  0.393662E-06    -0.113416E-09
   -0.1905   0.00000         -0.00000    
