
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30820_11_abc912                                     
  Mach  =    0.850
  alpha =    1.805    CLtot =    0.152
  beta  =    0.000

  Sref  =  1053.70000
  Bref  =    66.05000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062286146858441     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1312  0.861388E-03    -0.220775E-04
   -0.1375  0.767008E-03    -0.169853E-04
   -0.1452  0.623960E-03    -0.116579E-04
   -0.1539  0.460232E-03    -0.702652E-05
   -0.1628  0.307187E-03    -0.363264E-05
   -0.1714  0.182085E-03    -0.154257E-05
   -0.1791  0.911841E-04    -0.495961E-06
   -0.1854  0.346263E-04    -0.102533E-06
   -0.1899  0.754341E-05    -0.928567E-08
   -0.1922  0.453671E-06    -0.132070E-09
   -0.1925   0.00000         -0.00000    
