
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24744_6_d499e6                                      
  Mach  =    0.850
  alpha =    1.983    CLtot =    0.170
  beta  =    0.000

  Sref  =   982.00000
  Bref  =    75.91000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0066552496377290     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1142  0.860315E-03    -0.195149E-04
   -0.1197  0.769325E-03    -0.150807E-04
   -0.1264  0.630769E-03    -0.104149E-04
   -0.1339  0.470144E-03    -0.632292E-05
   -0.1416  0.317226E-03    -0.329310E-05
   -0.1491  0.189918E-03    -0.140809E-05
   -0.1558  0.959338E-04    -0.455490E-06
   -0.1613  0.366849E-04    -0.946389E-07
   -0.1652  0.803147E-05    -0.860409E-08
   -0.1672  0.484454E-06    -0.122713E-09
   -0.1675   0.00000         -0.00000    
