
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29456_5_29a665                                      
  Mach  =    0.850
  alpha =    1.980    CLtot =    0.163
  beta  =    0.000

  Sref  =   959.90000
  Bref  =    58.90000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062275042444822     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1471  0.109729E-02    -0.311166E-04
   -0.1542  0.976793E-03    -0.238433E-04
   -0.1629  0.788473E-03    -0.162616E-04
   -0.1725  0.574209E-03    -0.973393E-05
   -0.1825  0.379203E-03    -0.500566E-05
   -0.1922  0.223407E-03    -0.211896E-05
   -0.2009  0.111570E-03    -0.680268E-06
   -0.2079  0.423321E-04    -0.140569E-06
   -0.2129  0.922266E-05    -0.127312E-07
   -0.2155  0.554843E-06    -0.181130E-09
   -0.2158   0.00000         -0.00000    
