
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23676_14_211dd5                                     
  Mach  =    0.850
  alpha =    2.451    CLtot =    0.198
  beta  =    0.000

  Sref  =   726.60000
  Bref  =    62.08000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061726804123712     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1396  0.972387E-03    -0.274191E-04
   -0.1463  0.867173E-03    -0.212987E-04
   -0.1545  0.714307E-03    -0.148543E-04
   -0.1637  0.541077E-03    -0.914864E-05
   -0.1732  0.373591E-03    -0.484487E-05
   -0.1823  0.229039E-03    -0.210595E-05
   -0.1906  0.118146E-03    -0.691210E-06
   -0.1973  0.459293E-04    -0.145309E-06
   -0.2020  0.101697E-04    -0.133280E-07
   -0.2045  0.617454E-06    -0.191245E-09
   -0.2048   0.00000         -0.00000    
