
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10696_1_931546                                      
  Mach  =    0.850
  alpha =    1.954    CLtot =    0.162
  beta  =    0.000

  Sref  =   999.00000
  Bref  =    61.30000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060783034257750     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1414  0.112848E-02    -0.310953E-04
   -0.1482  0.100606E-02    -0.239031E-04
   -0.1565  0.817243E-03    -0.163788E-04
   -0.1658  0.600827E-03    -0.985172E-05
   -0.1754  0.399789E-03    -0.508363E-05
   -0.1847  0.236409E-03    -0.215535E-05
   -0.1930  0.118169E-03    -0.692101E-06
   -0.1998  0.448117E-04    -0.142942E-06
   -0.2046  0.975347E-05    -0.129361E-07
   -0.2071  0.586300E-06    -0.183906E-09
   -0.2074   0.00000         -0.00000    
