
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29324_14_d5bd4a                                     
  Mach  =    0.850
  alpha =    2.396    CLtot =    0.192
  beta  =    0.000

  Sref  =   756.00000
  Bref  =    63.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060761904761906     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1376  0.839587E-03    -0.233797E-04
   -0.1442  0.744922E-03    -0.181849E-04
   -0.1523  0.613442E-03    -0.127305E-04
   -0.1613  0.468103E-03    -0.788671E-05
   -0.1707  0.326568E-03    -0.420217E-05
   -0.1797  0.201862E-03    -0.183555E-05
   -0.1878  0.104701E-03    -0.604582E-06
   -0.1944  0.408446E-04    -0.127403E-06
   -0.1991  0.906245E-05    -0.117044E-07
   -0.2015  0.550827E-06    -0.168117E-09
   -0.2018   0.00000         -0.00000    
