
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_17176_13_e3553a                                     
  Mach  =    0.850
  alpha =    1.771    CLtot =    0.150
  beta  =    0.000

  Sref  =  1206.40000
  Bref  =    77.63000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0069328867705785     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1116  0.668778E-03    -0.152276E-04
   -0.1170  0.601957E-03    -0.118466E-04
   -0.1236  0.500553E-03    -0.825393E-05
   -0.1309  0.379733E-03    -0.505448E-05
   -0.1385  0.259658E-03    -0.264860E-05
   -0.1458  0.156513E-03    -0.113601E-05
   -0.1524  0.792316E-04    -0.367797E-06
   -0.1578  0.302910E-04    -0.763926E-07
   -0.1616  0.662494E-05    -0.693959E-08
   -0.1635  0.399252E-06    -0.988902E-10
   -0.1638   0.00000         -0.00000    
