
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30216_15_5dd1c4                                     
  Mach  =    0.850
  alpha =    2.399    CLtot =    0.192
  beta  =    0.000

  Sref  =   817.80000
  Bref  =    63.31000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060401200442268     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1369  0.123739E-02    -0.337375E-04
   -0.1435  0.110518E-02    -0.260949E-04
   -0.1515  0.905877E-03    -0.180593E-04
   -0.1605  0.677347E-03    -0.110034E-04
   -0.1698  0.459844E-03    -0.575656E-05
   -0.1788  0.277097E-03    -0.247227E-05
   -0.1869  0.140738E-03    -0.802720E-06
   -0.1934  0.540376E-04    -0.167267E-06
   -0.1981  0.118626E-04    -0.152393E-07
   -0.2005  0.716656E-06    -0.217658E-09
   -0.2008   0.00000         -0.00000    
