
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_26900_14_e09703                                     
  Mach  =    0.850
  alpha =    2.195    CLtot =    0.185
  beta  =    0.000

  Sref  =   796.30000
  Bref  =    64.86000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060191181005242     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1336  0.938743E-03    -0.248138E-04
   -0.1400  0.834330E-03    -0.191674E-04
   -0.1479  0.681032E-03    -0.132571E-04
   -0.1567  0.508594E-03    -0.808209E-05
   -0.1658  0.345746E-03    -0.423448E-05
   -0.1745  0.208834E-03    -0.182198E-05
   -0.1824  0.106343E-03    -0.592714E-06
   -0.1888  0.409292E-04    -0.123721E-06
   -0.1934  0.900127E-05    -0.112880E-07
   -0.1957  0.544391E-06    -0.161388E-09
   -0.1960   0.00000         -0.00000    
