
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33660_7_6915b2                                      
  Mach  =    0.850
  alpha =    2.224    CLtot =    0.193
  beta  =    0.000

  Sref  =   821.60000
  Bref  =    66.92000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063389121338913     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1295  0.148552E-02    -0.374159E-04
   -0.1357  0.132308E-02    -0.287472E-04
   -0.1433  0.107309E-02    -0.196892E-04
   -0.1519  0.787727E-03    -0.118436E-04
   -0.1607  0.524176E-03    -0.611719E-05
   -0.1692  0.310497E-03    -0.259802E-05
   -0.1768  0.155620E-03    -0.836014E-06
   -0.1830  0.591817E-04    -0.173029E-06
   -0.1874  0.129112E-04    -0.156877E-07
   -0.1897  0.777284E-06    -0.223337E-09
   -0.1900   0.00000         -0.00000    
