
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29392_15_562081                                     
  Mach  =    0.850
  alpha =    1.944    CLtot =    0.171
  beta  =    0.000

  Sref  =   895.20000
  Bref  =    62.74000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061938157475294     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1381  0.889191E-03    -0.240387E-04
   -0.1448  0.789330E-03    -0.185127E-04
   -0.1529  0.641602E-03    -0.127432E-04
   -0.1620  0.475421E-03    -0.771977E-05
   -0.1714  0.320030E-03    -0.401632E-05
   -0.1804  0.191420E-03    -0.171627E-05
   -0.1886  0.966231E-04    -0.554869E-06
   -0.1952  0.369212E-04    -0.115223E-06
   -0.1999  0.807796E-05    -0.104701E-07
   -0.2023  0.487033E-06    -0.149262E-09
   -0.2026   0.00000         -0.00000    
