
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_3124_15_a9f4f4                                      
  Mach  =    0.850
  alpha =    2.106    CLtot =    0.165
  beta  =    0.000

  Sref  =  1002.60000
  Bref  =    62.92000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061157024793388     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1377  0.803075E-03    -0.223370E-04
   -0.1444  0.715720E-03    -0.173512E-04
   -0.1525  0.590349E-03    -0.121001E-04
   -0.1615  0.448129E-03    -0.744331E-05
   -0.1709  0.309070E-03    -0.392805E-05
   -0.1799  0.188320E-03    -0.169761E-05
   -0.1880  0.962758E-04    -0.553393E-06
   -0.1946  0.370937E-04    -0.115579E-06
   -0.1993  0.815625E-05    -0.105433E-07
   -0.2017  0.493074E-06    -0.150682E-09
   -0.2021   0.00000         -0.00000    
