
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30364_1_453d2a                                      
  Mach  =    0.850
  alpha =    2.132    CLtot =    0.186
  beta  =    0.000

  Sref  =   847.50000
  Bref  =    59.96000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061074049366243     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1445  0.120676E-02    -0.340565E-04
   -0.1515  0.107422E-02    -0.261990E-04
   -0.1600  0.872005E-03    -0.179880E-04
   -0.1695  0.642749E-03    -0.108600E-04
   -0.1793  0.430260E-03    -0.563273E-05
   -0.1888  0.256353E-03    -0.240177E-05
   -0.1973  0.129115E-03    -0.775487E-06
   -0.2042  0.492870E-04    -0.160932E-06
   -0.2092  0.107799E-04    -0.146201E-07
   -0.2117  0.649930E-06    -0.208421E-09
   -0.2120   0.00000         -0.00000    
