
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29840_15_d8d0b9                                     
  Mach  =    0.850
  alpha =    2.001    CLtot =    0.177
  beta  =    0.000

  Sref  =   905.00000
  Bref  =    64.85000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062606013878181     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1336  0.141491E-02    -0.360416E-04
   -0.1401  0.125312E-02    -0.275439E-04
   -0.1479  0.100661E-02    -0.187290E-04
   -0.1567  0.730039E-03    -0.111732E-04
   -0.1658  0.479919E-03    -0.572320E-05
   -0.1746  0.281125E-03    -0.241204E-05
   -0.1824  0.139561E-03    -0.771016E-06
   -0.1888  0.526798E-04    -0.158726E-06
   -0.1934  0.114337E-04    -0.143329E-07
   -0.1957  0.686266E-06    -0.203479E-09
   -0.1960   0.00000         -0.00000    
