
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34196_15_f54842                                     
  Mach  =    0.850
  alpha =    2.269    CLtot =    0.165
  beta  =    0.000

  Sref  =  1017.20000
  Bref  =    62.48000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061331626120358     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1387  0.113770E-02    -0.308786E-04
   -0.1454  0.101146E-02    -0.237738E-04
   -0.1535  0.822108E-03    -0.163501E-04
   -0.1626  0.608199E-03    -0.989101E-05
   -0.1721  0.408582E-03    -0.513740E-05
   -0.1812  0.243813E-03    -0.219128E-05
   -0.1893  0.122758E-03    -0.707108E-06
   -0.1960  0.467977E-04    -0.146586E-06
   -0.2007  0.102207E-04    -0.133015E-07
   -0.2032  0.615568E-06    -0.189440E-09
   -0.2035   0.00000         -0.00000    
