
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_23168_6_a20ebf                                      
  Mach  =    0.850
  alpha =    1.669    CLtot =    0.166
  beta  =    0.000

  Sref  =   923.80000
  Bref  =    68.54000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064108549751969     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1264  0.910680E-03    -0.219142E-04
   -0.1325  0.808094E-03    -0.167346E-04
   -0.1400  0.649193E-03    -0.113560E-04
   -0.1483  0.469012E-03    -0.675280E-05
   -0.1569  0.306510E-03    -0.344768E-05
   -0.1652  0.178789E-03    -0.144991E-05
   -0.1726  0.885937E-04    -0.463050E-06
   -0.1787  0.334323E-04    -0.953189E-07
   -0.1830  0.725891E-05    -0.860990E-08
   -0.1852  0.435876E-06    -0.122280E-09
   -0.1855   0.00000         -0.00000    
