
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29352_13_7672ba                                     
  Mach  =    0.850
  alpha =    1.756    CLtot =    0.159
  beta  =    0.000

  Sref  =   988.20000
  Bref  =    62.87000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059296961985049     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1378  0.741899E-03    -0.200682E-04
   -0.1445  0.659629E-03    -0.154638E-04
   -0.1526  0.536999E-03    -0.106489E-04
   -0.1616  0.398347E-03    -0.645122E-05
   -0.1710  0.268144E-03    -0.335459E-05
   -0.1801  0.160214E-03    -0.143219E-05
   -0.1882  0.807616E-04    -0.462586E-06
   -0.1948  0.308258E-04    -0.959843E-07
   -0.1995  0.673955E-05    -0.871708E-08
   -0.2019  0.406192E-06    -0.124229E-09
   -0.2022   0.00000         -0.00000    
