
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29392_3_62d2f9                                      
  Mach  =    0.850
  alpha =    2.017    CLtot =    0.162
  beta  =    0.000

  Sref  =   943.00000
  Bref  =    56.88000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0056504922644163     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1524  0.108636E-02    -0.316338E-04
   -0.1597  0.959739E-03    -0.242038E-04
   -0.1687  0.770386E-03    -0.165092E-04
   -0.1787  0.561362E-03    -0.990314E-05
   -0.1890  0.372439E-03    -0.510766E-05
   -0.1990  0.220328E-03    -0.216727E-05
   -0.2080  0.110306E-03    -0.696800E-06
   -0.2153  0.419009E-04    -0.144091E-06
   -0.2205  0.913184E-05    -0.130535E-07
   -0.2232  0.549360E-06    -0.185709E-09
   -0.2235   0.00000         -0.00000    
