
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_7028_2_4e2889                                       
  Mach  =    0.850
  alpha =    1.621    CLtot =    0.151
  beta  =    0.000

  Sref  =  1072.70000
  Bref  =    67.89000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063956400058920     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1277  0.833141E-03    -0.205505E-04
   -0.1338  0.741983E-03    -0.157583E-04
   -0.1413  0.599945E-03    -0.107581E-04
   -0.1497  0.437992E-03    -0.644441E-05
   -0.1584  0.289638E-03    -0.331371E-05
   -0.1667  0.170524E-03    -0.140127E-05
   -0.1743  0.849966E-04    -0.449160E-06
   -0.1804  0.321795E-04    -0.926637E-07
   -0.1847  0.699825E-05    -0.838064E-08
   -0.1870  0.420536E-06    -0.119106E-09
   -0.1873   0.00000         -0.00000    
