
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29508_18_d05cfe                                     
  Mach  =    0.850
  alpha =    2.159    CLtot =    0.157
  beta  =    0.000

  Sref  =   999.10000
  Bref  =    57.48000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0057237299930410     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1508  0.896496E-03    -0.263086E-04
   -0.1580  0.794430E-03    -0.202324E-04
   -0.1669  0.643168E-03    -0.139055E-04
   -0.1768  0.474997E-03    -0.841681E-05
   -0.1870  0.319460E-03    -0.437951E-05
   -0.1969  0.191203E-03    -0.187283E-05
   -0.2058  0.966319E-04    -0.606068E-06
   -0.2131  0.369721E-04    -0.125976E-06
   -0.2182  0.809787E-05    -0.114570E-07
   -0.2208  0.488610E-06    -0.163449E-09
   -0.2212   0.00000         -0.00000    
