
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_17176_3_e98715                                      
  Mach  =    0.850
  alpha =    1.841    CLtot =    0.166
  beta  =    0.000

  Sref  =   961.10000
  Bref  =    72.02000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0066259372396558     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1203  0.776764E-03    -0.185042E-04
   -0.1261  0.694557E-03    -0.142845E-04
   -0.1332  0.568046E-03    -0.984966E-05
   -0.1411  0.422042E-03    -0.597082E-05
   -0.1493  0.284182E-03    -0.310647E-05
   -0.1572  0.169940E-03    -0.132736E-05
   -0.1643  0.857763E-04    -0.429164E-06
   -0.1700  0.327844E-04    -0.891397E-07
   -0.1741  0.717593E-05    -0.810276E-08
   -0.1763  0.432836E-06    -0.115560E-09
   -0.1765   0.00000         -0.00000    
