
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_32520_6_323adb                                      
  Mach  =    0.850
  alpha =    2.201    CLtot =    0.184
  beta  =    0.000

  Sref  =   821.00000
  Bref  =    70.81000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064567151532269     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1224  0.106988E-02    -0.258818E-04
   -0.1283  0.955237E-03    -0.199746E-04
   -0.1355  0.780936E-03    -0.137722E-04
   -0.1435  0.580041E-03    -0.834919E-05
   -0.1518  0.390460E-03    -0.434570E-05
   -0.1599  0.233670E-03    -0.185878E-05
   -0.1671  0.118157E-03    -0.601873E-06
   -0.1730  0.452559E-04    -0.125207E-06
   -0.1771  0.992254E-05    -0.113964E-07
   -0.1793  0.599110E-06    -0.162685E-09
   -0.1795   0.00000         -0.00000    
