
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34384_16_be12eb                                     
  Mach  =    0.850
  alpha =    1.723    CLtot =    0.147
  beta  =    0.000

  Sref  =  1138.30000
  Bref  =    68.81000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063159424502253     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1259  0.895056E-03    -0.219412E-04
   -0.1320  0.798379E-03    -0.168580E-04
   -0.1394  0.648678E-03    -0.115381E-04
   -0.1477  0.476103E-03    -0.692603E-05
   -0.1562  0.315708E-03    -0.356473E-05
   -0.1645  0.185993E-03    -0.150754E-05
   -0.1719  0.926764E-04    -0.483060E-06
   -0.1780  0.350660E-04    -0.996132E-07
   -0.1823  0.762227E-05    -0.900572E-08
   -0.1845  0.457919E-06    -0.127960E-09
   -0.1848   0.00000         -0.00000    
