
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_10372_18_2bc492                                     
  Mach  =    0.850
  alpha =    2.432    CLtot =    0.188
  beta  =    0.000

  Sref  =   797.00000
  Bref  =    64.03000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062751835077306     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1353  0.105228E-02    -0.285458E-04
   -0.1419  0.941077E-03    -0.221156E-04
   -0.1498  0.773315E-03    -0.153424E-04
   -0.1587  0.580166E-03    -0.937820E-05
   -0.1679  0.395713E-03    -0.492625E-05
   -0.1768  0.239893E-03    -0.212543E-05
   -0.1848  0.122612E-03    -0.693245E-06
   -0.1913  0.473363E-04    -0.145024E-06
   -0.1959  0.104327E-04    -0.132538E-07
   -0.1982  0.631747E-06    -0.189712E-09
   -0.1985   0.00000         -0.00000    
