
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_27100_8_cd03b3                                      
  Mach  =    0.850
  alpha =    2.113    CLtot =    0.183
  beta  =    0.000

  Sref  =   803.20000
  Bref  =    57.35000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060226678291193     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1511  0.870739E-03    -0.253693E-04
   -0.1584  0.767476E-03    -0.194692E-04
   -0.1673  0.617858E-03    -0.133585E-04
   -0.1772  0.454607E-03    -0.808221E-05
   -0.1875  0.305563E-03    -0.421040E-05
   -0.1974  0.183324E-03    -0.180517E-05
   -0.2063  0.930419E-04    -0.586123E-06
   -0.2135  0.357602E-04    -0.122237E-06
   -0.2187  0.786083E-05    -0.111486E-07
   -0.2213  0.475362E-06    -0.159378E-09
   -0.2217   0.00000         -0.00000    
