
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_13128_19_5a8b94                                     
  Mach  =    0.850
  alpha =    2.327    CLtot =    0.170
  beta  =    0.000

  Sref  =   896.20000
  Bref  =    63.94000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059962464810761     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1355  0.812849E-03    -0.221918E-04
   -0.1421  0.724440E-03    -0.172258E-04
   -0.1500  0.596051E-03    -0.120015E-04
   -0.1589  0.450916E-03    -0.738149E-05
   -0.1681  0.310834E-03    -0.390151E-05
   -0.1770  0.189989E-03    -0.169151E-05
   -0.1850  0.976266E-04    -0.553602E-06
   -0.1915  0.378154E-04    -0.116077E-06
   -0.1961  0.835061E-05    -0.106244E-07
   -0.1985  0.506198E-06    -0.152224E-09
   -0.1988   0.00000         -0.00000    
