
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30908_4_d7fbe0                                      
  Mach  =    0.850
  alpha =    1.822    CLtot =    0.156
  beta  =    0.000

  Sref  =  1019.30000
  Bref  =    65.18000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062442467014421     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1330  0.109438E-02    -0.278456E-04
   -0.1393  0.970339E-03    -0.213027E-04
   -0.1472  0.781017E-03    -0.145056E-04
   -0.1559  0.567753E-03    -0.866703E-05
   -0.1649  0.374083E-03    -0.444620E-05
   -0.1737  0.219579E-03    -0.187636E-05
   -0.1815  0.109181E-03    -0.600412E-06
   -0.1879  0.412557E-04    -0.123693E-06
   -0.1924  0.895924E-05    -0.111743E-07
   -0.1947  0.537875E-06    -0.158673E-09
   -0.1950   0.00000         -0.00000    
