
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_13400_0_8de241                                      
  Mach  =    0.850
  alpha =    1.920    CLtot =    0.170
  beta  =    0.000

  Sref  =   898.90000
  Bref  =    61.26000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061475677440419     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1415  0.110924E-02    -0.298760E-04
   -0.1483  0.977741E-03    -0.228394E-04
   -0.1566  0.783450E-03    -0.155667E-04
   -0.1659  0.570505E-03    -0.933069E-05
   -0.1755  0.378110E-03    -0.480745E-05
   -0.1848  0.223311E-03    -0.203743E-05
   -0.1931  0.111621E-03    -0.654350E-06
   -0.1999  0.423515E-04    -0.135204E-06
   -0.2047  0.922370E-05    -0.122418E-07
   -0.2072  0.554699E-06    -0.174107E-09
   -0.2075   0.00000         -0.00000    
