
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_705588_19_9ae6a9                                    
  Mach  =    0.850
  alpha =    2.640    CLtot =    0.181
  beta  =    0.000

  Sref  =   911.20000
  Bref  =    53.30000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060300187617262     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1626  0.155076E-02    -0.482733E-04
   -0.1704  0.136686E-02    -0.369669E-04
   -0.1800  0.109676E-02    -0.252741E-04
   -0.1907  0.802670E-03    -0.152192E-04
   -0.2017  0.536006E-03    -0.788280E-05
   -0.2124  0.318911E-03    -0.335719E-05
   -0.2220  0.160355E-03    -0.108253E-05
   -0.2298  0.611000E-04    -0.224343E-06
   -0.2353  0.133429E-04    -0.203556E-07
   -0.2382  0.803622E-06    -0.289908E-09
   -0.2385   0.00000         -0.00000    
