
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29616_13_ea22b8                                     
  Mach  =    0.850
  alpha =    1.828    CLtot =    0.150
  beta  =    0.000

  Sref  =  1164.20000
  Bref  =    74.74000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0067781643029168     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1160  0.871605E-03    -0.199635E-04
   -0.1215  0.779126E-03    -0.154016E-04
   -0.1284  0.637660E-03    -0.106062E-04
   -0.1360  0.473354E-03    -0.641204E-05
   -0.1438  0.317372E-03    -0.332167E-05
   -0.1515  0.188524E-03    -0.141186E-05
   -0.1583  0.944650E-04    -0.454038E-06
   -0.1639  0.358682E-04    -0.938543E-07
   -0.1678  0.781175E-05    -0.849782E-08
   -0.1698  0.469711E-06    -0.120841E-09
   -0.1701   0.00000         -0.00000    
