
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_17764_10_05376a                                     
  Mach  =    0.850
  alpha =    1.978    CLtot =    0.167
  beta  =    0.000

  Sref  =   927.90000
  Bref  =    63.94000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060681889271192     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1355  0.651439E-03    -0.178065E-04
   -0.1421  0.579653E-03    -0.138297E-04
   -0.1500  0.476845E-03    -0.964979E-05
   -0.1589  0.361781E-03    -0.594915E-05
   -0.1681  0.250423E-03    -0.315235E-05
   -0.1770  0.153587E-03    -0.136956E-05
   -0.1850  0.791099E-04    -0.448923E-06
   -0.1915  0.306905E-04    -0.942297E-07
   -0.1961  0.678369E-05    -0.863117E-08
   -0.1985  0.411438E-06    -0.123728E-09
   -0.1988   0.00000         -0.00000    
