
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33648_8_3a18e3                                      
  Mach  =    0.850
  alpha =    2.197    CLtot =    0.189
  beta  =    0.000

  Sref  =   783.40000
  Bref  =    62.27000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063915207965313     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1392  0.836512E-03    -0.234458E-04
   -0.1459  0.744730E-03    -0.182009E-04
   -0.1541  0.612739E-03    -0.126862E-04
   -0.1632  0.464047E-03    -0.780719E-05
   -0.1727  0.320158E-03    -0.412855E-05
   -0.1818  0.195801E-03    -0.179070E-05
   -0.1900  0.100670E-03    -0.586298E-06
   -0.1967  0.390127E-04    -0.122973E-06
   -0.2014  0.861763E-05    -0.112583E-07
   -0.2038  0.522456E-06    -0.161327E-09
   -0.2042   0.00000         -0.00000    
