
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29348_13_1f3a84                                     
  Mach  =    0.850
  alpha =    1.889    CLtot =    0.166
  beta  =    0.000

  Sref  =   957.40000
  Bref  =    74.56000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0067221030042919     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1162  0.887930E-03    -0.205569E-04
   -0.1218  0.797321E-03    -0.158884E-04
   -0.1287  0.654579E-03    -0.109624E-04
   -0.1363  0.486861E-03    -0.664291E-05
   -0.1442  0.327425E-03    -0.345278E-05
   -0.1518  0.195491E-03    -0.147395E-05
   -0.1587  0.985697E-04    -0.476255E-06
   -0.1643  0.376536E-04    -0.988846E-07
   -0.1682  0.823961E-05    -0.898680E-08
   -0.1702  0.496938E-06    -0.128154E-09
   -0.1705   0.00000         -0.00000    
