PARASITE DRAG BUILD UP DATA 

Mach, Altitude (ft), Vinf (Mach), S_ref (m^2)
0.850000, 40000.000000, 0.850000, 957.548159 

Temp (R), Pressure (lbf/ft^2), Density (slug/ft^3) 
389.970000, 391.683791, 0.000585 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Compressible Schlichting 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (m^2),Cd,% Total 
BodyandWing,1800.732691, 25.544614, 0.147513,1.323435, Hoerner,135903016.191035, 0.000000,0.002040, 1.000000,4.860541, 0.005076, 97.636860 
VStabalizer,33.173412, 2.724985, 0.119856,1.252094, Hoerner,14497525.879371, 0.000000,0.002832, 1.000000,0.117641, 0.000123, 2.363140 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 4.978183, 0.005199, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 4.978183, 0.005199, 100.000000 
