
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_32020_14_80dcfc                                     
  Mach  =    0.850
  alpha =    2.659    CLtot =    0.199
  beta  =    0.000

  Sref  =   732.70000
  Bref  =    63.33000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063792831201643     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1368  0.119320E-02    -0.327384E-04
   -0.1434  0.106531E-02    -0.253724E-04
   -0.1515  0.874514E-03    -0.176238E-04
   -0.1605  0.657201E-03    -0.107996E-04
   -0.1698  0.450136E-03    -0.569215E-05
   -0.1787  0.274264E-03    -0.246477E-05
   -0.1868  0.140848E-03    -0.806614E-06
   -0.1934  0.545875E-04    -0.169207E-06
   -0.1980  0.120634E-04    -0.154965E-07
   -0.2004  0.731648E-06    -0.222141E-09
   -0.2007   0.00000         -0.00000    
