
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34384_4_b377c7                                      
  Mach  =    0.850
  alpha =    1.780    CLtot =    0.147
  beta  =    0.000

  Sref  =  1091.50000
  Bref  =    62.80000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060573248407643     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1380  0.650269E-03    -0.177149E-04
   -0.1446  0.578887E-03    -0.136722E-04
   -0.1528  0.472482E-03    -0.943710E-05
   -0.1618  0.351768E-03    -0.573388E-05
   -0.1712  0.237830E-03    -0.299146E-05
   -0.1803  0.142778E-03    -0.128145E-05
   -0.1884  0.722847E-04    -0.415142E-06
   -0.1950  0.276837E-04    -0.863474E-07
   -0.1997  0.606641E-05    -0.785591E-08
   -0.2021  0.366106E-06    -0.112094E-09
   -0.2024   0.00000         -0.00000    
