
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_9624_17_3060bf                                      
  Mach  =    0.850
  alpha =    2.380    CLtot =    0.183
  beta  =    0.000

  Sref  =   804.90000
  Bref  =    64.67000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062192670480903     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1340  0.919792E-03    -0.251881E-04
   -0.1404  0.827369E-03    -0.196079E-04
   -0.1483  0.686867E-03    -0.136847E-04
   -0.1571  0.521281E-03    -0.841359E-05
   -0.1662  0.358584E-03    -0.443939E-05
   -0.1750  0.218548E-03    -0.192140E-05
   -0.1829  0.112081E-03    -0.628078E-06
   -0.1894  0.433667E-04    -0.131595E-06
   -0.1939  0.957112E-05    -0.120396E-07
   -0.1963  0.580027E-06    -0.172457E-09
   -0.1966   0.00000         -0.00000    
