
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_15668_9_8e47b1                                      
  Mach  =    0.850
  alpha =    1.747    CLtot =    0.158
  beta  =    0.000

  Sref  =   970.60000
  Bref  =    63.43000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060822954437965     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1366  0.672422E-03    -0.178536E-04
   -0.1432  0.596466E-03    -0.137217E-04
   -0.1512  0.483213E-03    -0.941577E-05
   -0.1602  0.356074E-03    -0.568244E-05
   -0.1695  0.238246E-03    -0.294551E-05
   -0.1785  0.141798E-03    -0.125499E-05
   -0.1865  0.713450E-04    -0.404943E-06
   -0.1931  0.272160E-04    -0.839966E-07
   -0.1977  0.595042E-05    -0.762853E-08
   -0.2001  0.358684E-06    -0.108731E-09
   -0.2004   0.00000         -0.00000    
