
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29372_1_b3ecad                                      
  Mach  =    0.850
  alpha =    2.124    CLtot =    0.167
  beta  =    0.000

  Sref  =  1014.70000
  Bref  =    59.02000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059979667909182     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1468  0.115820E-02    -0.331639E-04
   -0.1539  0.103253E-02    -0.254972E-04
   -0.1625  0.838589E-03    -0.174772E-04
   -0.1722  0.616750E-03    -0.105198E-04
   -0.1822  0.410872E-03    -0.543390E-05
   -0.1918  0.243328E-03    -0.230644E-05
   -0.2004  0.121807E-03    -0.741410E-06
   -0.2075  0.462507E-04    -0.153269E-06
   -0.2125  0.100764E-04    -0.138812E-07
   -0.2151  0.606074E-06    -0.197452E-09
   -0.2154   0.00000         -0.00000    
