
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_3340_13_855b7f                                      
  Mach  =    0.850
  alpha =    2.068    CLtot =    0.171
  beta  =    0.000

  Sref  =   894.10000
  Bref  =    70.54000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063226538134391     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1229  0.948299E-03    -0.226386E-04
   -0.1288  0.844248E-03    -0.173899E-04
   -0.1360  0.684699E-03    -0.119068E-04
   -0.1441  0.502255E-03    -0.715914E-05
   -0.1524  0.333769E-03    -0.369719E-05
   -0.1605  0.197703E-03    -0.157138E-05
   -0.1677  0.992535E-04    -0.506437E-06
   -0.1736  0.378394E-04    -0.105015E-06
   -0.1778  0.827378E-05    -0.953814E-08
   -0.1800  0.498848E-06    -0.135978E-09
   -0.1802   0.00000         -0.00000    
