
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30392_0_51afb3                                      
  Mach  =    0.850
  alpha =    2.047    CLtot =    0.159
  beta  =    0.000

  Sref  =  1019.50000
  Bref  =    63.53000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062742011648040     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1364  0.942846E-03    -0.249822E-04
   -0.1430  0.837139E-03    -0.191951E-04
   -0.1510  0.677315E-03    -0.131647E-04
   -0.1600  0.498224E-03    -0.794388E-05
   -0.1692  0.333437E-03    -0.412000E-05
   -0.1782  0.198694E-03    -0.175669E-05
   -0.1862  0.100059E-03    -0.567093E-06
   -0.1928  0.381804E-04    -0.117649E-06
   -0.1974  0.834744E-05    -0.106847E-07
   -0.1998  0.503148E-06    -0.152284E-09
   -0.2001   0.00000         -0.00000    
