
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_752736_18_27505b                                    
  Mach  =    0.850
  alpha =    1.565    CLtot =    0.162
  beta  =    0.000

  Sref  =   951.90000
  Bref  =    77.37000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0067287062168799     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1120  0.475106E-03    -0.101812E-04
   -0.1174  0.416323E-03    -0.780146E-05
   -0.1240  0.333899E-03    -0.534853E-05
   -0.1313  0.245447E-03    -0.323579E-05
   -0.1390  0.165054E-03    -0.168598E-05
   -0.1463  0.990395E-04    -0.722890E-06
   -0.1529  0.502634E-04    -0.234728E-06
   -0.1583  0.193221E-04    -0.489614E-07
   -0.1621  0.424874E-05    -0.446664E-08
   -0.1641  0.256994E-06    -0.638686E-10
   -0.1643   0.00000         -0.00000    
