
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_4796_7_cb0eea                                       
  Mach  =    0.850
  alpha =    1.906    CLtot =    0.160
  beta  =    0.000

  Sref  =  1083.60000
  Bref  =    65.49000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059795388608950     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1323  0.735694E-03    -0.192489E-04
   -0.1387  0.651744E-03    -0.148731E-04
   -0.1465  0.531805E-03    -0.103014E-04
   -0.1552  0.398598E-03    -0.629290E-05
   -0.1642  0.272089E-03    -0.330145E-05
   -0.1729  0.164563E-03    -0.142023E-05
   -0.1806  0.836817E-04    -0.461328E-06
   -0.1870  0.321211E-04    -0.960980E-07
   -0.1915  0.704595E-05    -0.874983E-08
   -0.1938  0.425378E-06    -0.124893E-09
   -0.1941   0.00000         -0.00000    
