
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_32520_12_ac01d9                                     
  Mach  =    0.850
  alpha =    2.124    CLtot =    0.165
  beta  =    0.000

  Sref  =   962.50000
  Bref  =    66.51000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063749812058336     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1303  0.752707E-03    -0.199388E-04
   -0.1366  0.674661E-03    -0.155061E-04
   -0.1442  0.559163E-03    -0.108132E-04
   -0.1528  0.424394E-03    -0.664077E-05
   -0.1616  0.291593E-03    -0.349624E-05
   -0.1702  0.177067E-03    -0.150808E-05
   -0.1779  0.903381E-04    -0.491008E-06
   -0.1841  0.347705E-04    -0.102480E-06
   -0.1886  0.764189E-05    -0.934511E-08
   -0.1909  0.461885E-06    -0.133531E-09
   -0.1911   0.00000         -0.00000    
